Accuracy,Precision,Recall,F1 Score,AUC,Loss,TP,TN,FP,FN,ML_Model
0.75,0.751412429378531,0.9568345323741008,0.8417721518987342,0.8329991744309471,0.4913437295647772,133,17,44,6,RF
0.755,0.7527472527472527,0.9716312056737588,0.848297213622291,0.8362783988460153,0.48037065667559914,137,14,45,4,RF
0.75,0.7554347826086957,0.9652777777777778,0.8475609756097561,0.78515625,0.4933846708220042,139,11,45,5,RF
0.73,0.7213114754098361,0.9777777777777777,0.8301886792452831,0.7978917378917378,0.5178409233914885,132,14,51,3,RF
0.79,0.7891891891891892,0.9798657718120806,0.874251497005988,0.8608369522305567,0.44140128378383325,146,12,39,3,RF
0.735,0.7307692307692307,0.9708029197080292,0.8338557993730408,0.8720889815780327,0.47797118939630634,133,14,49,4,RF
0.8,0.8,0.9801324503311258,0.8809523809523809,0.82571969185025,0.4558756326889781,148,12,37,3,RF
0.75,0.7471910112359551,0.9637681159420289,0.8417721518987342,0.8364890135577372,0.4874815495287082,133,17,45,5,RF
0.74,0.7307692307692307,0.9779411764705882,0.8364779874213837,0.8008961397058824,0.5127834290264094,133,15,49,3,RF
0.73,0.7087912087912088,0.9923076923076923,0.8269230769230769,0.8337362637362637,0.5148719617810028,129,17,53,1,RF
0.75,0.7527472527472527,0.9647887323943662,0.845679012345679,0.804456046624575,0.503218365942299,137,13,45,5,RF
0.73,0.7237569060773481,0.9703703703703703,0.8291139240506329,0.8029059829059829,0.5150413444331187,131,15,50,4,RF
0.77,0.7777777777777778,0.958904109589041,0.8588957055214724,0.8269279553526129,0.4762986523634517,140,14,40,6,RF
0.775,0.7627118644067796,0.9782608695652174,0.8571428571428571,0.8155680224403928,0.49321267474332325,135,20,42,3,RF
0.76,0.7569060773480663,0.9716312056737588,0.8509316770186336,0.797812237047722,0.50176955740247,137,15,44,4,RF
0.72,0.7142857142857143,0.9541984732824428,0.8169934640522876,0.8200022126341407,0.5179533987387519,125,19,50,6,RF
0.76,0.7734806629834254,0.9523809523809523,0.8536585365853658,0.8054165062251316,0.4775782022483317,140,12,41,7,RF
